"X","abv","ibu","id","name","style","brewery_id","ounces"
1360,0.051,24,171,"Louie’s Demise Immort-Ale (2010)","Red Ale",284,16
1375,0.068,66,2441,"Mission IPA","IPA",98,32
1377,0.092,75,1459,"Shipwrecked Double IPA","IPA",98,32
1385,0.075,85,2159,"City of the Sun","IPA",209,16
1386,0.068,75,2157,"Booming Rollers","IPA",209,16
1388,0.067,75,2154,"Aurora ","Red Ale",209,16
1391,0.058,40,1493,"Black House","Stout",209,16
1392,0.065,115,1492,"Blazing World","Red Ale",209,16
1397,0.056,28,1907,"Montauk Summer Ale","Blonde Ale",276,12
1407,0.052,21,2237,"Towhead","Blonde Ale",188,12
1408,0.07,70,2208,"Lil' Helper","IPA",188,12
1418,0.053,10,421,"Mustang Golden Ale","Blonde Ale",366,12
1427,0.07,22,316,"Narragansett Porter","Porter",143,16
1432,0.085,86,1265,"Old Grogham Imperial India Pale Ale","IPA",387,16
1433,0.085,86,747,"Old Grogham Imperial India Pale Ale (2012)","IPA",387,16
1437,0.065,65,1148,"Nebraska India Pale Ale","IPA",337,12
1439,0.048,15,1146,"Brunette Nut Brown Ale","Brown Ale",337,12
1443,0.045,40,2475,"Slow Ride","IPA",82,12
1444,0.065,70,2230,"Ranger IPA","IPA",82,12
1451,0.052,18,1586,"Fat Tire Amber Ale","Red Ale",82,12
1453,0.052,18,748,"Fat Tire Amber Ale (2011)","Red Ale",82,12
1455,0.065,70,564,"Ranger IPA","IPA",82,16
1456,0.052,18,563,"Fat Tire Amber Ale","Red Ale",82,16
1457,0.065,70,115,"Ranger IPA (Current)","IPA",82,12
1459,0.052,18,71,"Fat Tire Amber Ale (2008)","Red Ale",82,12
1460,0.034,6,1417,"Weiss Trash Culture","Weissbier",410,12
1465,0.088,85,320,"Gandhi-Bot Double IPA (12 oz.)","IPA",410,12
1467,0.088,85,42,"Gandhi-Bot Double IPA (16 oz.) (2010)","IPA",410,16
1478,0.056,30,2042,"Kadigan","Blonde Ale",241,12
1479,0.052,50,2041,"Dammit Jim!","Red Ale",241,12
1488,0.072,80,1621,"Hop Drop 'N Roll IPA","IPA",359,16
1493,0.045,50,2692,"Get Together","IPA",0,16
1495,0.048,19,2690,"Wall's End","Brown Ale",0,16
1497,0.06,25,2688,"Stronghold","Porter",0,16
1507,0.061,66,1258,"5 Day IPA","IPA",442,12
1509,0.067,70,2331,"Watershed IPA","IPA",150,12
1510,0.054,24,1669,"Oakshire Amber Ale","Red Ale",150,12
1511,0.058,27,1668,"Overcast Espresso Stout","Stout",150,12
1512,0.067,70,999,"Watershed IPA (2013)","IPA",150,12
1513,0.082,25,2247,"Lake Monster","Porter",184,16
1523,0.054,36,2333,"Psycho Penguin Vanilla Porter","Porter",148,12
1529,0.065,26,1058,"33 Select Brown Ale","Brown Ale",471,16
1532,0.057,26,601,"Winter Games Select #32 Stout","Stout",471,16
1535,0.065,65,1487,"Falling Down Brown Ale","Brown Ale",301,16
1551,0.049,35,2302,"Pinner Throwback IPA","IPA",166,12
1561,0.053,35,1167,"Mama's Little Yella Pils","Pilsener",166,19.2
