"name","Radius","Period","Discovery_method","star_mass","star_radius","star_temperature"
"Kepler-604 b",0.231,25.85501786,"transit",1.02,1.03,5890
"Kepler-302 c",1.13457,127.282184,"transit",1.021,1.22,5740
"Kepler-302 b",0.36999,30.184104,"transit",1.021,1.22,5740
"Kepler-27 b",0.364521,15.33,"transit",0.65,0.59,5400
"Kepler-27 c",0.44653,31.33,"transit",0.65,0.59,5400
"Kepler-964 b",0.189,13.5225106,"transit",0.93,0.84,5427
"WASP-69 b",1.057,3.8681382,"transit",0.826,0.813,4715
"Kepler-1059 b",0.154,3.76419105,"transit",0.75,0.72,4906
"Kepler-1561 b",0.097,1.00520701,"transit",1.07,1.11,5957
"Kepler-1300 b",0.122,22.2419092,"transit",1.29,1.79,6130
"Kepler-705 b",0.188,56.0560538,"transit",0.53,0.51,3722
"HATS-26 b",1.75,3.3023881,"transit",1.299,2.04,6071
"Kepler-1220 b",0.136,7.42693741,"transit",1,0.99,5842
"Kepler-206 c",0.1613,13.137471,"transit",1.021,1.185,5764
"Kepler-206 b",0.10936,7.781987,"transit",1.021,1.185,5764
"Kepler-206 d",0.10845,23.44281,"transit",1.021,1.185,5764
"Kepler-1537 b",0.105,1.4444538,"transit",0.81,0.77,5079
"Kepler-988 b",0.185,17.76080053,"transit",0.55,0.53,4005
"Kepler-449 b",0.1834,12.58242,"transit",0.969,1.57,5588
"Kepler-449 c",0.2466,33.6727,"transit",0.969,1.57,5588
"Kepler-683 b",0.176,2.53918318,"transit",0.96,0.95,5703
"Kepler-1012 b",0.115,5.50860439,"transit",0.95,0.91,5556
"Kepler-1001 b",0.281,14.30511983,"transit",0.9,0.88,5491
"Kepler-184 b",0.21507,10.687576,"transit",0.97,0.873,5788
"Kepler-184 c",0.17953,20.303005,"transit",0.97,0.873,5788
"Kepler-184 d",0.22691,29.022358,"transit",0.97,0.873,5788
"Kepler-18 b",0.179,3.504725,"transit",0.972,1.108,5383
"Kepler-18 c",0.49,7.64159,"transit",0.972,1.108,5383
"Kepler-18 d",0.62,14.85888,"transit",0.972,1.108,5383
"Kepler-1312 b",0.187,5.44832529,"transit",0.99,0.92,5719
"Kepler-1569 b",0.15,5.79180156,"transit",1.25,1.4,6319
"Kepler-1342 b",0.148,2.21571036,"transit",0.93,0.9,5527
"Kepler-1634 b",0.285,374.876239,"transit",0.92,0.89,5474
"Kepler-1265 b",0.12,6.49441289,"transit",0.71,0.69,4630
"HAT-P-19 b",1.109,4.0087844,"transit",0.842,0.82,4990
"Kepler-759 b",0.203,41.805985,"transit",1.04,1.04,5860
"Kepler-563 b",0.276,22.18432708,"transit",0.8,0.77,5066
"Kepler-1607 b",0.082,13.6473676,"transit",1.14,1.21,6116
"Kepler-1631 b",0.12,4.09513932,"transit",0.97,0.95,5679
"Kepler-973 b",0.175,49.6077331,"transit",0.86,0.78,5213
"Kepler-278 b",0.3709,30.160546,"transit",1.079,2.935,4991
"Kepler-278 c",0.32716,51.078775,"transit",1.079,2.935,4991
"Kepler-305 b",0.26246,5.487108,"transit",0.9,0.794,5100
"Kepler-305 c",0.25608,8.290858,"transit",0.9,0.794,5100
"Kepler-305 d",0.24696,16.738661,"transit",0.9,0.794,5100
"Kepler-182 c",0.31258,20.684342,"transit",1.1,1.146,6250
"Kepler-182 b",0.23512,9.825792,"transit",1.1,1.146,6250
"EPIC 204221263 b",0.138,4.01593,"transit",1.07,1.1,5757
"EPIC 204221263 c",0.216,10.56103,"transit",1.07,1.1,5757
"Kepler-947 b",0.203,26.9644317,"transit",0.9,0.87,5508
"Kepler-1364 b",0.192,13.32196237,"transit",1.49,1.79,6805
"Kepler-1179 b",0.118,2.68505749,"transit",0.84,0.81,5212
"Kepler-1589 b",0.097,0.99166527,"transit",1.18,1.25,6166
"Kepler-4 b",0.357,3.21346,"transit",1.223,1.487,5857
"KELT-7 b",1.533,2.7347749,"transit",1.535,1.732,6789
"Kepler-885 b",0.223,18.11472949,"transit",1.21,1.35,6187
"Kepler-491 b",0.796,4.22538451,"transit",1.04,1.03,5582
"HATS-32 b",1.249,2.8126548,"transit",1.099,1.097,5700
"Kepler-1130 b",0.071,5.45298175,"transit",0.9,0.81,5403
"Kepler-652 b",0.222,4.18200253,"transit",0.97,0.88,5490
"Kepler-493 b",1.35,3.00387658,"transit",1.36,1.54,6457
"Kepler-1193 b",0.118,2.83265213,"transit",1.08,1.21,5908
"HAT-P-7 b",1.4588,2.204737,"transit",1.59,2.02,6310
"Kepler-202 b",0.14854,4.069427,"transit",0.683,0.667,4668
"Kepler-202 c",0.16859,16.282493,"transit",0.683,0.667,4668
"Kepler-1641 b",0.277,19.672266,"transit",1.12,1.19,6152
"Kepler-1641 c",0.263,32.657212,"transit",1.12,1.19,6152
"HAT-P-3 b",0.827,2.899703,"transit",0.917,0.799,5224
"Kepler-655 b",0.242,46.4063358,"transit",1.15,1.24,6170
"Kepler-486 b",0.981,30.36044667,"transit",0.79,0.75,4926
"CoRoT-12 b",1.44,2.828042,"transit",1.078,1.116,5675
"Kepler-436 b",0.244,64.00205,"transit",0.729,0.697,4651
"Kepler-436 c",0.208,16.79713874,"transit",0.729,0.697,4651
"Kepler-721 b",0.236,5.39202539,"transit",0.82,0.78,5075
"Kepler-259 b",0.25516,8.115317,"transit",1.015,0.898,5938
"Kepler-259 c",0.24605,36.924931,"transit",1.015,0.898,5938
"HAT-P-18 b",0.947,5.507978,"transit",0.77,0.717,4870
"Kepler-169 e",0.20049,13.767102,"transit",0.918,0.763,4997
"Kepler-169 c",0.11027,6.195469,"transit",0.918,0.763,4997
"Kepler-169 b",0.10298,3.250619,"transit",0.918,0.763,4997
"Kepler-169 d",0.11391,8.348125,"transit",0.918,0.763,4997
"Kepler-169 f",0.23512,87.090195,"transit",0.918,0.763,4997
"Kepler-1551 b",0.237,24.4973698,"transit",1.14,1.22,6136
"Kepler-1042 b",0.195,10.13202575,"transit",0.75,0.72,4815
"Kepler-1056 b",0.269,27.495606,"transit",1.12,1.2,6127
"Kepler-333 b",0.12029,12.551158,"transit",0.601,0.534,4259
"Kepler-333 c",0.10115,24.08821,"transit",0.601,0.534,4259
"Kepler-935 b",0.12,4.88083852,"transit",0.78,0.73,4830
"Kepler-22 b",0.21689,290,"transit",0.97,0.979,5510
"EPIC 201713348 b",0.118,1.42266,"transit",0.8,0.74,4924
"EPIC 201713348 c",0.25,5.34059,"transit",0.8,0.74,4924
"Kepler-373 b",0.12394,5.535309,"transit",0.978,0.845,5787
"Kepler-373 c",0.113,16.725948,"transit",0.978,0.845,5787
"Kepler-1191 b",0.135,5.60014851,"transit",0.85,0.81,5308
"Kepler-1325 b",0.255,33.8786838,"transit",0.93,0.91,5550
"EPIC 205071984 b",0.48,8.99218,"transit",0.87,0.87,5315
"EPIC 205071984 c",0.31,20.65614,"transit",0.87,0.87,5315
"EPIC 205071984 d",0.335,31.71922,"transit",0.87,0.87,5315
"CoRoT-19 b",1.45,3.89713,"transit",1.21,1.65,6090
"Kepler-1608 b",0.154,16.4735686,"transit",0.75,0.72,4992
"Kepler-1581 b",0.071,6.28385491,"transit",1.12,1.23,6022
"Kepler-447 b",1.65,7.79430132,"transit",0.764,0.872,5493
"Kepler-577 b",0.227,25.69578251,"transit",0.78,0.73,4984
"Kepler-1297 b",0.087,1.68189002,"transit",0.99,0.99,5818
"Kepler-103 b",0.307109,15.9654,"transit",1.09,1.44,5845
"Kepler-103 c",0.46841,179.612,"transit",1.09,1.44,5845
"WASP-111 b",1.442,2.310965,"transit",1.5,1.85,6400
"Kepler-1559 b",0.064,0.97191543,"transit",0.86,0.82,5316
"Kepler-1180 b",0.178,16.8601286,"transit",1.09,1.14,6077
"Kepler-74 b",0.96,7.340711,"transit",1.18,1.12,6000
"Kepler-869 b",0.322,40.4287755,"transit",0.97,0.95,5664
"Kepler-148 c",0.32807,4.180043,"transit",0.777,0.851,5272
"Kepler-148 b",0.16403,1.729366,"transit",0.777,0.851,5272
"Kepler-148 d",0.774,51.84688575,"transit",0.777,0.851,5272
"WASP-59 b",0.775,7.919585,"transit",0.719,0.613,4650
"Kepler-322 c",0.15219,4.337234,"transit",0.9,0.89,5388
"Kepler-322 b",0.09204,1.653888,"transit",0.9,0.89,5388
"Kepler-1610 b",0.144,8.70181574,"transit",0.91,0.87,5383
"Kepler-1034 b",0.202,12.12400943,"transit",0.83,0.8,5198
"Kepler-1414 b",0.11,3.51576315,"transit",0.8,0.75,4951
"Kepler-1002 b",0.153,4.33642933,"transit",1.22,1.57,6144
"Kepler-1524 b",0.316,70.9674603,"transit",1.17,1.25,6179
"Kepler-674 b",0.151,2.24338185,"transit",0.6,0.57,4192
"Kepler-698 b",0.328,16.32976218,"transit",0.94,0.91,5612
"Kepler-195 b",0.18499,8.307872,"transit",0.843,0.775,5329
"Kepler-195 c",0.14125,34.096863,"transit",0.843,0.775,5329
"Kepler-5 b",1.431,3.54846,"transit",1.374,1.793,6297
"Kepler-1155 b",0.181,33.469743,"transit",1.03,1.03,5842
"Kepler-955 b",0.279,14.53244172,"transit",0.89,0.84,5350
"Kepler-597 b",0.211,13.02365861,"transit",0.97,0.95,5683
"Kepler-81 b",0.22874,5.95488,"transit",0.648,0.595,4500
"Kepler-81 c",0.18317,12.039956,"transit",0.648,0.595,4500
"Kepler-81 d",0.11027,20.837846,"transit",0.648,0.595,4500
"Kepler-1222 b",0.07,1.91694425,"transit",0.84,0.8,5239
"Kepler-1026 b",0.197,36.5156053,"transit",0.79,0.75,4948
"Kepler-1434 b",0.099,8.05333618,"transit",1.47,2.04,6291
"Kepler-1472 b",0.17,38.1312831,"transit",1.16,1.25,6159
"Kepler-494 b",0.637,8.02511821,"transit",1.1,1.26,6007
